入札日,執行部署名,事業担当課名,工事名,工事場所１市区町村,工事場所１地名１,工事場所１地名２,契約業者名,予定価格,最低制限価格若しくは調査基準価格,落札価格,指名業者数,入札形式
2006.07.06,西牟婁産業振興部,森林整備課,特定流域総合治山事業,田辺市,中辺路町道湯川,広田　地内,（株）豊建設,"41,606,250","30,412,200","39,480,000",20,指名競争入札
2006.07.06,西牟婁産業振興部,森林整備課,水源流域広域保全事業,田辺市,龍神村小又川,西ノ河　地内,（有）ヨシダ組,"49,970,550","36,447,600","47,964,000",21,指名競争入札
2006.07.05,海草産業振興部,農地整備課,安原地区測量設計業務委託,和歌山市,吉原,外地内,内外エンジニアリング（株）和歌山営業所,"9,964,500",0,"8,925,000",17,指名競争入札
2006.07.05,海草産業振興部,森林整備課,県土防災対策治山事業,海草郡　紀美野町,毛原下,字流田地内,（株）丸栄山下組,"2,448,600",0,"2,079,000",15,指名競争入札
2006.07.05,那賀産業振興部,農地整備課,水栖大池地区土質調査業務委託,岩出市,水栖,地内,（株）白浜試錐,"4,284,000",0,"1,995,000",11,指名競争入札
2006.07.05,那賀産業振興部,農地整備課,震災対策ため池土質調査業務委託,紀の川市,北大井,地内　外,拓伸建設（株）,"15,414,000",0,"6,457,500",11,指名競争入札
2006.07.05,那賀産業振興部,農地整備課,水栖大池地区環境配慮基本設計業務委託,岩出市,水栖,地内,キタイ設計（株）和歌山事務所,"2,982,000",0,"1,365,000",14,指名競争入札
2006.07.05,那賀産業振興部,農地整備課,水栖大池地区測量設計業務委託,岩出市,水栖,地内,（株）近代技研,"15,634,500",0,"14,175,000",11,指名競争入札
2006.07.03,西牟婁産業振興部,農地整備課,県営畑地帯総合整備事業　下中三栖地区　調査測量設計業務委託,田辺市,下三栖,中三栖地内,小川測量設計（株）,"14,731,500",0,"13,965,000",13,指名競争入札
2006.06.29,西牟婁産業振興部,森林整備課,水源流域広域保全事業,田辺市,龍神村丹生ノ川,大谷地内,アダチエンタープライズ,"25,781,700","19,009,200","24,990,000",20,指名競争入札
2006.06.29,西牟婁産業振興部,森林整備課,水源流域広域保全事業,田辺市,龍神村丹生ノ川,大谷地内,（株）伊藤組,"37,454,550","27,616,050","35,490,000",20,指名競争入札
2006.06.29,西牟婁産業振興部,森林整備課,復旧治山事業,田辺市,伏菟野,目吉良地内,山本組,"31,419,150","22,386,000","30,765,000",20,指名競争入札
2006.06.28,日高産業振興部,森林整備課,復旧治山事業,日高郡　日高川町,上初湯川,鉢　地内,（株）児玉組,"33,502,350","24,538,500","30,093,000",18,指名競争入札
2006.06.28,日高産業振興部,森林整備課,予防治山事業,日高郡　印南町,羽六,研屋　地内,青木工作所,"14,308,350","9,830,100","13,513,500",21,指名競争入札
2006.06.28,日高産業振興部,森林整備課,復旧治山事業,日高郡　日高川町,小釜本,大谷　地内,（有）西谷組,"13,330,800","9,123,450","12,600,000",20,指名競争入札
2006.06.28,日高産業振興部,森林整備課,復旧治山事業,日高郡　日高川町,上田原,幸合　地内,（株）土屋組,"43,807,050","31,851,750","31,851,750",20,指名競争入札
2006.06.26,東牟婁産業振興部,森林整備課,県土防災対策治山事業,東牟婁郡　串本町,西向,字上ヶ地　地内,浅利建設,"1,890,000",0,"1,470,000",20,指名競争入札
2006.06.26,東牟婁産業振興部,森林整備課,県土防災対策治山事業,新宮市,木ノ川,字立石　地内,土井機業,"2,442,300",0,"2,341,500",16,指名競争入札
2006.06.26,東牟婁産業振興部,森林整備課,治山事業　調査　業務委託,新宮市,熊野川町宮井,字奥谷外　地内,アジア航測（株）和歌山営業所,"37,555,350",0,"23,835,000",15,指名競争入札
2006.06.20,伊都産業振興部,農地整備課,畑地帯総合整備事業　河根地区　農用地造成1 号団地測量設計委託業務,伊都郡　九度山町,河根,地内,日技クラウン（株）京都支店,"13,944,000",0,"12,810,000",10,指名競争入札
2006.06.19,西牟婁産業振興部,農地整備課,巡谷池地区堤体用土掘削工事,田辺市,下三栖,中三栖地内,向井建設,"12,453,000","9,350,250","12,075,000",20,指名競争入札
2006.06.16,西牟婁産業振興部,農地整備課,県営畑地帯総合整備事業　下中三栖地区建物等事前調査業務委託,田辺市,中三栖,地内,（株）ワールド和歌山支店,"1,123,500",0,"1,029,000",15,指名競争入札
2006.06.16,西牟婁産業振興部,森林整備課,復旧治山事業,田辺市,本宮町三越,細木尾地内,（株）泉組,"53,042,850","38,914,050","50,925,000",17,指名競争入札
2006.06.16,西牟婁産業振興部,森林整備課,県有林事業　作業道補修工事,田辺市,龍神村,龍神・小又川地内,（株）タイリュウ建設,"3,112,200","2,229,150","3,018,750",13,指名競争入札
2006.06.14,那賀産業振興部,農地整備課,安楽川地区　地質調査その１業務,紀の川市,桃山町市場、元,地内,（株）タニガキ建工,"1,459,500",0,"647,850",11,指名競争入札
2006.06.14,那賀産業振興部,農地整備課,安楽川地区　幹線１号農道法面調査業務,紀の川市,桃山町元,地内,サンコーコンサルタント（株）大阪支店,"1,428,000",0,"1,260,000",11,指名競争入札
2006.06.14,那賀産業振興部,農地整備課,安楽川地区　幹線１号農道１０工区道路工事,紀の川市,竹房,地内,（株）村嶋組,"24,601,500","18,607,050","23,299,500",19,指名競争入札
2006.06.13,伊都産業振興部,森林整備課,復旧治山事業,橋本市,谷奥深,字　龍ノ尾　地内,巽建設（株）,"30,148,650","21,529,200","29,400,000",15,指名競争入札
2006.06.13,伊都産業振興部,森林整備課,復旧治山事業,伊都郡　かつらぎ町,平,字　天ノ河　地内,竹本組,"22,853,250","16,092,300","22,050,000",13,指名競争入札
2006.06.13,伊都産業振興部,森林整備課,水源流域地域保全事業,伊都郡　かつらぎ町,大字花園中南,地内,安本組,"25,217,850","17,847,900","24,360,000",14,指名競争入札
2006.06.13,伊都産業振興部,農村計画課,海岸保全・地すべり防止区域調査管理事業　丁ノ町地区　集水井蓋修繕工事,伊都郡　かつらぎ町,丁ノ町,地内,福田組,"1,186,500",0,"1,144,500",13,指名競争入札
2006.06.13,伊都産業振興部,農地整備課,地すべり対策事業　西渋田第１地区　１２号排水路（その２）工事,伊都郡　かつらぎ町,西渋田,地内,（株）辻本組,"33,505,500","25,226,250","32,550,000",14,指名競争入札
2006.06.09,西牟婁産業振興部,森林整備課,林地荒廃防止施設災害復旧事業（応急仮工事）,西牟婁郡　上富田町,岩田,上殿　地内,（株）清本組,"18,835,950","13,132,350","18,459,000",19,指名競争入札
2006.06.07,海草産業振興部,森林整備課,治山事業測量設計業務委託,海草郡　紀美野町,滝ノ川,字平浦地内,（有）クボタ測建工業,"1,139,250",0,"1,060,500",17,指名競争入札
2006.06.07,海草産業振興部,森林整備課,治山事業測量設計業務委託,海草郡　紀美野町,毛原下,字山戸地内,ワコウコンサルタント（株）,"2,009,700",0,"1,900,500",17,指名競争入札
2006.06.07,海草産業振興部,森林整備課,治山事業測量設計業務委託,海草郡　紀美野町,毛原上,字小金岩地内,（株）南紀航測センター,"1,492,050",0,"1,396,500",17,指名競争入札
2006.06.07,海草産業振興部,森林整備課,治山事業測量設計業務委託,海草郡　紀美野町,長谷宮,字柳生谷地内,（有）拓新測量設計事務所,"788,550",0,"735,000",17,指名競争入札
2006.06.07,海草産業振興部,農地整備課,永谷地区用地測量業務委託,海草郡　紀美野町,永谷,地内,（株）近代技研,"1,501,500",0,"1,417,500",17,指名競争入札
2006.06.01,水産振興課,水産振興課,増殖場測量及び調査委託業務,田辺市,目良,地先,（株）熊野実測,"1,837,500",0,"1,743,000",11,指名競争入札
2006.06.01,水産振興課,水産振興課,広域漁場測量委託業務,東牟婁郡　串本町,樫野崎,沖合,（有）熊野路測量設計,"2,478,000",0,"2,310,000",13,指名競争入札
2006.05.31,有田産業振興部,農地整備課,田角２期地区　２号承水路その１工事,有田郡　有田川町,田角,地内,丸義組,"19,918,500","14,878,500","19,320,000",19,指名競争入札
2006.05.31,日高産業振興部,農地整備課,上野工区幹線農道法面保護工事,御坊市,名田町　上野,地内,（株）北村組,"2,646,000","1,876,350","2,592,450",14,指名競争入札
2006.05.31,日高産業振興部,森林整備課,県土防災対策治山事業,日高郡　日高川町,寒川,板垣内　地内,杉本組,"3,753,750","2,534,700","3,706,500",14,指名競争入札
2006.05.31,日高産業振興部,農地整備課,県営かん排　南部南部川地区　排水路舗装・付帯工事,日高郡　みなべ町,気佐藤,徳蔵地内,（株）中井組,"32,928,000","25,459,350","30,943,500",9,指名競争入札
2006.05.31,日高産業振興部,農地整備課,上野工区農道付帯工事,御坊市,名田町　上野,地内,（株）三興組,"3,496,500","2,639,700","3,423,000",10,指名競争入札
2006.05.31,日高産業振興部,農地整備課,加尾工区畑かん施設設置工事,御坊市,名田町　野島,地内,（株）土屋組,"11,728,500","9,956,100","11,550,000",15,指名競争入札
2006.05.31,日高産業振興部,森林整備課,水源流域地域保全事業調査業務委託事業,日高郡　日高川町,初湯川,猪谷　地内,ワコウコンサルタント（株）,"6,822,900",0,"4,609,500",18,指名競争入札
2006.05.31,日高産業振興部,農地整備課,新出池橋梁下部工その１工事,日高郡　印南町,津井,地内,ユミクラ住建,"9,355,500","6,816,600","6,816,600",12,指名競争入札
2006.05.31,日高産業振興部,森林整備課,海岸防災林造成事業全体計画調査業務委託事業,日高郡　印南町,島田,浪際　地内,国土防災技術（株）和歌山営業所,"9,075,150",0,"7,612,500",11,指名競争入札
2006.05.31,日高産業振興部,農地整備課,楠井３工区かんがい施設設計業務,御坊市,名田町　楠井,地内,キタイ設計（株）和歌山事務所,"4,179,000",0,"2,835,000",13,指名競争入札
2006.05.26,西牟婁産業振興部,農地整備課,海岸保全施設整備事業　鳥の巣西地区　海岸保全施設整備その３工事,田辺市,新庄町,地内,（株）廣畑組,"60,679,500","46,739,700","59,325,000",9,指名競争入札
2006.05.26,西牟婁産業振興部,農地整備課,県営ほ場整備事業中・栄・才野地区建物等事後調査業務委託,西牟婁郡　白浜町,,中、栄地内,（株）サンヨーナイスコーポレーション和歌山営業所,"7,402,500",0,"6,930,000",15,指名競争入札
2006.05.23,伊都産業振興部,農地整備課,畑地帯総合整備事業　河根地区　支線1 号農道（その４）工事,伊都郡　九度山町,河根,地内,（株）藤田組,"47,628,000","36,283,800","46,567,500",14,指名競争入札
2006.05.23,伊都産業振興部,農地整備課,地すべり対策事業　西渋田第１地区　４号承水路（その５）工事,伊都郡　かつらぎ町,西渋田,地内,岩本組,"11,487,000","8,622,600","11,182,500",13,指名競争入札
2006.05.23,伊都産業振興部,農地整備課,畑地帯総合整備事業　河根地区　耕作道３号農道舗装及び附帯整備工事,伊都郡　九度山町,河根,地内,（株）窪田建設,"7,896,000","5,897,850","7,717,500",6,指名競争入札
2006.05.23,伊都産業振興部,農地整備課,畑地帯総合整備事業　河根地区　支線排水路２号工事,伊都郡　九度山町,河根,地内,上土谷組,"15,708,000","11,688,600","15,172,500",15,指名競争入札
2006.05.23,伊都産業振興部,農地整備課,地すべり対策事業　西渋田第１地区　１３号排水路（その1 ）工事,伊都郡　かつらぎ町,西渋田,地内,いわい建設,"7,266,000","5,345,550","7,087,500",13,指名競争入札
2006.05.17,那賀産業振興部,森林整備課,予防治山事業,紀の川市,下鞆渕,字　和田　地内,藤山建設（株）,"15,632,400","10,790,850","14,805,000",19,指名競争入札
2006.05.11,有田産業振興部,森林整備課,治山事業測量設計業務委託,有田郡　有田川町,粟生,檜島　地内,（株）近畿コンサルタント,"1,680,000",0,"1,585,500",14,指名競争入札
2006.05.11,有田産業振興部,森林整備課,治山事業測量設計業務委託,有田郡　有田川町,粟生,檜島地内,（株）石井コンサルタント,"1,308,300",0,"1,228,500",14,指名競争入札
2006.05.11,西牟婁産業振興部,森林整備課,県土防災対策治山事業,田辺市,本宮町野竹,定夕　地内,山下建設,"3,329,550","2,248,050","3,223,500",12,指名競争入札
2006.05.10,海草産業振興部,農地整備課,永谷地区地すべり調査設計その２業務委託,海草郡　紀美野町,永谷,地内,国土防災技術（株）和歌山営業所,"44,599,800",0,"28,350,000",20,指名競争入札
2006.05.10,日高産業振興部,農地整備課,農業水利施設保全計画策定その４業務,日高郡　日高川町,,地内,内外エンジニアリング（株）和歌山営業所,"13,051,500",0,"8,263,500",16,指名競争入札
2006.05.10,日高産業振興部,農地整備課,農業水利施設保全計画策定その３業務,日高郡　日高川町,,地内,日技クラウン（株）京都支店,"4,231,500",0,"2,520,000",16,指名競争入札
2006.05.10,日高産業振興部,農地整備課,日高川地区　幹線水路舗装工事,日高郡　日高川町,若野,地内,（株）柏木建設,"29,620,500","23,400,300","28,875,000",9,指名競争入札
2006.05.10,日高産業振興部,農地整備課,楠井工区幹線配水管布設工事,御坊市,名田町　楠井,地内,タナカ技研（株）,"17,335,500","12,965,400","14,385,000",17,指名競争入札
2006.05.10,日高産業振興部,農地整備課,上野工区幹線農道舗装工事,御坊市,名田町　上野,地内,和興建設（株）,"8,431,500","6,305,250","8,326,500",9,指名競争入札
2006.05.09,水産振興課,水産振興課,和歌山地区藻場礁製作・設置,海南市,下津町丸田,地内,築港建材（株）,"25,116,000","19,067,160","19,067,160",16,指名競争入札
2006.04.26,伊都産業振興部,森林整備課,測量設計業務委託事業,伊都郡　高野町,花坂,地内,（株）清和エンジニア,"641,550",0,"598,500",14,指名競争入札
2006.04.26,伊都産業振興部,森林整備課,測量設計業務委託事業,橋本市,谷奥深,龍ノ尾　地内,（有）谷口測量設計,"1,707,300",0,"1,606,500",14,指名競争入札
2006.04.26,伊都産業振興部,森林整備課,測量設計業務委託事業,伊都郡　かつらぎ町,花園久木,字吉井　地内,（有）尾崎測量設計,"552,300",0,"514,500",14,指名競争入札
2006.04.26,伊都産業振興部,森林整備課,測量設計業務委託事業,伊都郡　かつらぎ町,花園梁瀬,字角間木　地内,西畑測量設計（株）,"678,300",0,"630,000",15,指名競争入札
2006.04.24,東牟婁産業振興部,森林整備課,治山事業　測量設計　業務委託,東牟婁郡　串本町,佐部,字大畑谷　地内,（有）川嶋測量設計事務所,"1,163,400",0,"1,123,500",14,指名競争入札
2006.04.24,東牟婁産業振興部,森林整備課,治山事業　測量設計　業務委託,東牟婁郡　古座川町,宇筒井,字奥山　地内,コネガワ測量設計事務所,"1,703,100",0,"1,648,500",15,指名競争入札
2006.04.24,東牟婁産業振興部,森林整備課,治山事業　測量設計　業務委託,東牟婁郡　那智勝浦町,大字長井,字長平　地内,（有）大江設計事務所,"1,176,000",0,"1,134,000",11,指名競争入札
2006.04.24,東牟婁産業振興部,森林整備課,治山事業　測量設計業務委託,東牟婁郡　古座川町,松根,字杉谷　地内,（有）吉野測量設計事務所,"664,650",0,"640,500",15,指名競争入札
2006.04.20,西牟婁産業振興部,森林整備課,予防治山事業測量設計業務委託,田辺市,下川下,田井中　地内,福田測量設計事務所,"1,970,850",0,"1,869,000",13,指名競争入札
2006.04.20,西牟婁産業振興部,森林整備課,水源流域広域保全事業測量設計業務委託,田辺市,龍神村丹生ノ川,大谷　地内,（有）鈴木測量設計,"985,950",0,"934,500",14,指名競争入札
2006.04.20,西牟婁産業振興部,森林整備課,特定流域総合治山事業測量設計業務委託,田辺市,中辺路町道湯川,広田外　地内,（株）三黄測量事務所,"495,600",0,"462,000",13,指名競争入札
2006.04.20,西牟婁産業振興部,森林整備課,特定流域総合治山事業測量設計業務委託,田辺市,中辺路町道湯川,広田外　地内,西航空測量（株）,"1,444,800",0,"1,312,500",14,指名競争入札
2006.04.20,西牟婁産業振興部,森林整備課,水源流域広域保全事業測量設計業務委託,田辺市,龍神村小又川,西ノ河外　地内,（有）龍和興業,"2,682,750",0,"2,520,000",13,指名競争入札
2006.04.20,西牟婁産業振興部,森林整備課,復旧治山事業測量設計業務委託,田辺市,伏菟野,目吉良　地内,（有）菅根測量,"1,517,250",0,"1,428,000",11,指名競争入札
2006.04.20,西牟婁産業振興部,農地整備課,県営ほ場整備事業　中・栄・才野地区　ほ場整備舗装その１工事,西牟婁郡　白浜町,中・栄,地内,（株）北道工務店,"16,548,000","13,106,100","16,170,000",9,指名競争入札
2006.04.19,日高産業振興部,森林整備課,地域防災対策総合治山事業,日高郡　日高川町,川原河,地内,（株）グロウ,"44,093,700","32,073,300","43,575,000",18,指名競争入札
2006.04.19,日高産業振興部,森林整備課,治山事業測量設計業務委託,日高郡　日高川町,大字寒川字東谷,地内,（有）佐々木測量設計地所,"1,606,500",0,"1,522,500",11,指名競争入札
2006.04.19,日高産業振興部,森林整備課,治山事業測量設計業務委託,日高郡　日高川町,大字上田原字幸合,地内,（株）日進測量設計事務所,"1,476,300",0,"1,396,500",11,指名競争入札
2006.04.19,日高産業振興部,森林整備課,治山事業測量設計業務委託,日高郡　日高川町,大字小釜本字大谷,地内,五輪コンサルタント（株）,"1,513,050",0,"1,436,400",11,指名競争入札
2006.04.19,日高産業振興部,森林整備課,治山事業測量設計業務委託,日高郡　印南町,大字古屋字池ノ谷,地内,（有）ヤマニシ,"2,049,600",0,"1,937,250",13,指名競争入札
2006.04.19,日高産業振興部,森林整備課,治山事業測量設計業務委託,日高郡　日高川町,大字上初湯川字鉢,地内,（有）成和測量設計事務所,"1,057,350",0,"997,500",11,指名競争入札
2006.04.19,日高産業振興部,森林整備課,治山事業測量設計業務委託,日高郡　日高川町,大字初湯川字洞,地内,（株）三紀屋測量,"765,450",0,"724,500",11,指名競争入札
2006.04.19,日高産業振興部,森林整備課,治山事業測量設計業務委託,日高郡　印南町,大字羽六字研屋,地内,（有）日廣技研,"782,250",0,"735,000",13,指名競争入札
2006.04.19,日高産業振興部,森林整備課,地域防災対策総合治山事業,日高郡　日高川町,川原河宇井渕,地内,児玉建設,"37,217,250","26,851,650","36,750,000",18,指名競争入札
