平成２２年４月１日から平成２３年３月３１日までの分,,,,,,,,,,,,
開札日,執行課名,事業担当課名,工事名,工事場所１市区町村,工事場所１地名１,工事場所１地名２,契約業者名, 予定価格 , 最低制限価格若しくは調査基準価格 , 落札価格 , 指名業者数 ,入札形式
20101116,有田地域振興部,農業農村整備課,船坂工区第３水槽保全工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　,有田郡　有田川町　　,船坂　　　　　　　　,地内　　　　　　　　,（株）松葉建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 4,956,000 "," 4,166,450 "," 4,201,890 ", 7 ,条件付一般競争入札
20101115,那賀地域振興部,農業農村整備課,和歌山３期地区（妙見・調月工区）　妙見・調月排水機場保全計画策定業務　　　　　　,紀の川市桃山町　　　,元、調月　　　　　　,地内　　　　　　　　,内外エンジニアリング（株）和歌山営業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 15,046,500 "," 11,350,319 "," 12,789,000 ", 6 ,条件付一般競争入札
20101112,伊都地域振興部,森林整備課,予防治山事業(予防第15号-2)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,橋本市　　　　　　　,境原　　　　　　　　,字栢谷地内　　　　　,今井組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 15,976,800 "," 13,404,040 "," 14,288,400 ", 3 ,条件付一般競争入札
20101110,日高地域振興部,森林整備課,復旧治山事業(復旧第10号)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　　,大字　寒川　　　　　,字　谷山　地内　　　,ミドリ環境　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 3,999,450 "," 3,480,968 "," 3,486,420 ", 3 ,条件付一般競争入札
20101110,西牟婁地域振興部,森林整備課,県土防災対策治山事業(県防第6号)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,串　　　　　　　　　,犬手谷地内　　　　　,田辺工業（有）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 3,639,300 "," 3,044,859 "," 3,178,665 ", 7 ,条件付一般競争入札
20101110,西牟婁地域振興部,森林整備課,県土防災対策治山事業(県防第14号)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,合川　　　　　　　　,地内　　　　　　　　,（株）谷川建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,041,600 "," 889,938 "," 906,192 ", 5 ,条件付一般競争入札
20101110,伊都地域振興部,農業農村整備課,平成２１年災　西渋田排水路災害復旧工事　　　　　　　　　　　　　　　　　　　　　,伊都郡　かつらぎ町　,西渋田　　　　　　　,地内　　　　　　　　,（株）阪田組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 25,252,500 "," 21,647,602 "," 22,600,987 ", 4 ,条件付一般競争入札
20101110,伊都地域振興部,森林整備課,予防治山事業設計業務(予防第17号-1)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,伊都郡　かつらぎ町　,滝　　　　　　　,字分行地内　　　　　,（株）南紀航測センター　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 2,334,150 "," 1,730,097 "," 1,786,050 ", 5 ,条件付一般競争入札
20101110,伊都地域振興部,森林整備課,予防治山事業一般調査業務(予防第17号-2)　　　　　　　　　　　　　　　　　　　　　　　　　　　　,伊都郡　かつらぎ町　,滝　　　　　　　　　,字分行地内　　　　　,（株）白浜試錐　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 5,971,350 "," 4,910,480 "," 4,925,130 ", 15 ,条件付一般競争入札
20101110,伊都地域振興部,森林整備課,予防治山事業設計等業務(予防第17号-3)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,伊都郡　かつらぎ町　,滝　　　　　　　　　,字分行地内　　　　　,（株）クレアリア関西支店　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 3,272,850 "," 2,425,537 "," 2,453,850 ", 8 ,条件付一般競争入札
20101104,海草地域振興部,森林整備課,予防治山事業(予防第1号-2)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,海草郡　紀美野町　　,長谷宮　　　　　　　,字　柳生谷地内　　　,中谷組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 11,562,600 "," 9,652,119 "," 9,835,350 ", 6 ,条件付一般競争入札
20101104,海草地域振興部,森林整備課,予防治山事業(予防第2号-2)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,海草郡　紀美野町　　,円明寺　　　　　　　,字　向原地内　　　　,折口建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 28,613,550 "," 24,252,772 "," 24,276,000 ", 12 ,条件付一般競争入札
20101102,有田地域振興部,農業農村整備課,船坂工区送水管保全工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,有田郡　有田川町　　,船坂　　　　　　　　,地内　　　　　　　　,エコ和歌山（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 10,143,000 "," 8,630,355 "," 8,653,664 ", 19 ,条件付一般競争入札
20101102,西牟婁地域振興部,農業農村整備課,地すべり防止区域堺地区　排水路補修工事　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,上秋津　　　　　　　,地内　　　　　　　　,芝田建築　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 462,000 "," 393,615 "," 395,115 ", 5 ,条件付一般競争入札
20101028,水産振興課,水産振興課,小引工区魚礁製作及び設置工事　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　由良町　　　,小引　　　　　　　　,地先　　　　　　　　,（株）第三港湾建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 62,926,500 "," 55,377,451 "," 55,522,950 ", 4 ,条件付一般競争入札（総合評価）
20101028,水産振興課,水産振興課,方杭工区魚礁製作及び設置工事　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高町　　　,方杭　　　　　　　　,地先　　　　　　　　,（株）明生工業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 60,333,000 "," 52,508,572 "," 53,014,500 ", 4 ,条件付一般競争入札（総合評価）
20101025,海草地域振興部,農業農村整備課,和歌山２期地区　排水路保全計画その２業務　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,栗栖　　　　　　　　,地内　　　　　　　　,（株）近代技研　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 2,142,000 "," 1,612,979 "," 1,634,850 ", 7 ,条件付一般競争入札
20101025,那賀地域振興部,農業農村整備課,水栖大池改修（その８）工事　　　　　　　　　　　　　　　　　　　　　　　　　　　,岩出市　　　　　　　,水栖　　　　　　　　,地内　　　　　　　　,（株）志野造園土木　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 6,394,500 "," 5,441,425 "," 5,498,850 ", 2 ,条件付一般競争入札
20101021,西牟婁地域振興部,森林整備課,地域防災対策総合治山事業設計業務(地防第1号-6)　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,上秋津　　　　　　　,下畑地内　　　　　　,（株）南紀航測センター　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 3,325,350 "," 2,430,498 "," 2,546,250 ", 5 ,条件付一般競争入札
20101020,日高地域振興部,農業農村整備課,ため池診断ボーリング調査業務　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡美浜町大字三尾,及び日高郡日高川町　,大字佐井地内　　　　,（株）環境地盤　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 3,979,500 "," 3,282,176 "," 3,294,721 ", 21 ,条件付一般競争入札
20101020,日高地域振興部,農業農村整備課,日高地区　畑地かんがい施設送水能力検討設計業務　　　　　　　　　　　　　　　　　,日高郡　日高川町　　,和佐　　　　　　　　,地内　　　　　　　　,（株）近代技研　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 2,761,500 "," 1,986,075 "," 2,478,000 ", 4 ,条件付一般競争入札
20101020,日高地域振興部,農業農村整備課,日高川二期地区幹線水路改修その８工事　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　　,小熊　　　　　　　　,地内　　　　　　　　,（株）一伸　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 27,489,000 "," 23,971,701 "," 23,995,650 ", 20 ,条件付一般競争入札
20101020,東牟婁地域振興部,農業農村整備課,潮岬園地公園施設補修工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　,東牟婁郡　串本町　　,潮岬　　　　　　　　,地内　　　　　　　　,（有）立合建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,113,000 "," 933,373 "," 933,450 ", 5 ,条件付一般競争入札
20101019,有田地域振興部,森林整備課,治山事業測量設計業務委託(予防第5号-1)　　　　　　　　　　　　　　　　　　　　　　　　　　　　,有田郡　有田川町　　,大字北野川　　　　　,字上垣内地内　　　　,応用地質（株）和歌山支店　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,548,750 "," 1,133,697 "," 1,184,400 ", 2 ,条件付一般競争入札
20101018,那賀地域振興部,農業農村整備課,下丹生谷地区事業計画書作成調査業務　　　　　　　　　　　　　　　　　　　　　　　,紀の川市　　　　　　,下丹生谷　　　　　　,地内　　　　　　　　,（有）三木測量設計事務所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 924,000 "," 728,554 "," 735,420 ", 7 ,条件付一般競争入札
20101018,那賀地域振興部,農業農村整備課,１号排水路兼用道路実施設計（その２）業務　　　　　　　　　　　　　　　　　　　　,紀の川市　　　　　　,竹房　　　　　　　　,地内　　　　　　　　,（株）近代技研　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 3,328,500 "," 2,482,200 "," 2,512,650 ", 13 ,条件付一般競争入札
20101015,水産振興課,水産振興課,北部栽培漁業センター生産施設改修工事　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,加太　　　　　　　　,地内　　　　　　　　,（有）西庄西本建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 15,897,000 "," 14,235,322 "," 14,243,250 ", 6 ,条件付一般競争入札
20101015,水産振興課,水産振興課,南部栽培漁業センター取水棟建築工事　　　　　　　　　　　　　　　　　　　　　　　,東牟婁郡　串本町　　,串本　　　　　　　　,地内　　　　　　　　,（株）小森組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 16,095,450 "," 14,203,889 "," 15,000,300 ", 3 ,条件付一般競争入札
20101014,西牟婁地域振興部,農業農村整備課,日向地区幹線道路測量設計業務　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,上芳養　　　　　　　,地内　　　　　　　　,（株）初山　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 808,500 "," 623,168 "," 724,500 ", 8 ,条件付一般競争入札
20101007,西牟婁地域振興部,農業農村整備課,滝内地区  海岸施設補強その１工事　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,新庄町　　　　　　　,地内　　　　　　　　,川口建設（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 29,190,000 "," 25,483,192 "," 25,964,400 ", 6 ,条件付一般競争入札
20101006,日高地域振興部,農業農村整備課,みなべ地区排水路整備その１工事　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　みなべ町　　,徳蔵・筋　　　　　　,地内　　　　　　　　,（有）丸高組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 20,601,000 "," 17,624,913 "," 17,627,400 ", 19 ,条件付一般競争入札
20101006,日高地域振興部,森林整備課,予防治山事業測量設計業務委託（予防第7号-3）　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　　,大字三佐字本川谷　　,地内　　　　　　　　,（株）マエモト　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,008,000 "," 732,456 "," 924,000 ", 4 ,条件付一般競争入札
20101005,日高地域振興部,農業農村整備課,西川地区　樋門改修工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　美浜町　　　,田井　　　　　　　　,地内　　　　　　　　,日工マシナリー（株）和歌山営業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 33,684,000 "," 30,012,444 "," 30,255,750 ", 5 ,条件付一般競争入札（総合評価）
20101005,日高地域振興部,農業農村整備課,日高川二期地区出島幹線水路改修その１工事　　　　　　　　　　　　　　　　　　　　,御坊市　　　　　　　,藤田町藤井　　　　　,地内　　　　　　　　,（株）小池組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 32,980,500 "," 28,703,111 "," 29,400,000 ", 9 ,条件付一般競争入札（総合評価）
20101001,海草地域振興部,農業農村整備課,２次診断（土質調査）業務　　　　　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,北野他　　　　　　　,地内　　　　　　　　,（株）環境地盤　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 6,058,500 "," 4,981,594 "," 4,988,035 ", 24 ,条件付一般競争入札
20101001,海草地域振興部,農業農村整備課,下佐々頭首工実施設計業務　　　　　　　　　　　　　　　　　　　　　　　　　　　　,海草郡　紀美野町　　,下佐々　　　　　　　,地内　　　　　　　　,（有）岡本土木技術　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 5,344,500 "," 4,004,025 "," 4,809,000 ", 8 ,条件付一般競争入札
20100930,海草地域振興部,農業農村整備課,安原地区付帯工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,広原　　　　　　　　,地内　　　　　　　　,（有）ユカワ開発　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,302,000 "," 1,104,023 "," 1,110,900 ", 11 ,条件付一般競争入札
20100928,有田地域振興部,農業農村整備課,柄杓井工区護岸破堤防止工事　　　　　　　　　　　　　　　　　　　　　　　　　　　,有田郡　広川町　　　,西広　　　　　　　　,地先　　　　　　　　,森川建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 15,393,000 "," 13,136,516 "," 13,157,550 ", 7 ,条件付一般競争入札
20100928,有田地域振興部,農業農村整備課,和歌山地区宮代工区護岸破堤防止その１工事　　　　　　　　　　　　　　　　　　　　,有田郡　広川町　　　,唐尾　　　　　　　　,地先　　　　　　　　,戸上組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 17,482,500 "," 15,030,029 "," 15,043,035 ", 12 ,条件付一般競争入札
20100927,那賀地域振興部,森林整備課,復旧治山事業(復旧第1号-2)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,紀の川市　　　　　　,切畑　　　　　　　　,字葛城地内　　　　　,上土谷組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 31,273,200 "," 26,821,036 "," 27,033,300 ", 6 ,条件付一般競争入札（総合評価）
20100927,伊都地域振興部,森林整備課,水源流域地域保全事業(水地第1号)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,伊都郡　かつらぎ町　,大字花園久木　　　　,地内　　　　　　　　,長岡組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 17,061,450 "," 14,376,125 "," 16,464,000 ", 4 ,条件付一般競争入札
20100924,日高地域振興部,農業農村整備課,寺谷池地区　測量設計業務　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高町　　　,小池　　　　　　　　,地内　　　　　　　　,（株）三紀屋測量　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 6,142,500 "," 4,493,216 "," 5,460,000 ", 8 ,条件付一般競争入札
20100924,日高地域振興部,農業農村整備課,寺谷池地区　土質調査業務　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高町　　　,小池　　　　　　　　,地内　　　　　　　　,ワコウコンサルタント（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 5,103,000 "," 4,075,018 "," 4,082,400 ", 19 ,条件付一般競争入札
20100924,日高地域振興部,農業農村整備課,南部川左岸工区保全計画策定業務　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　みなべ町　　,西本庄・東本庄　　　,地内　　　　　　　　,キタイ設計（株）和歌山事務所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 5,061,000 "," 4,032,878 "," 4,462,500 ", 3 ,条件付一般競争入札
20100924,日高地域振興部,農業農村整備課,日高・和田工区保全計画策定業務　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　美浜町　　　,和田・日高町高家外　,地内　　　　　　　　,（株）ウエスコ和歌山営業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 7,707,000 "," 5,826,039 "," 5,985,000 ", 4 ,条件付一般競争入札
20100924,日高地域振興部,農業農村整備課,川辺町周辺３期工区保全計画策定業務　　　　　　　　　　　　　　　　　　　　　　　,日高郡　印南町　　　,西ノ地・島田　　　　,地内　　　　　　　　,内外エンジニアリング（株）和歌山営業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 5,901,000 "," 4,580,167 "," 5,302,500 ", 3 ,条件付一般競争入札
20100924,日高地域振興部,農業農村整備課,日高川工区水路補修工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,御坊市　　　　　　　,湯川町　丸山　　　　,地内　　　　　　　　,（株）イワキ建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 6,510,000 "," 5,471,884 "," 5,481,420 ", 10 ,条件付一般競争入札
20100921,那賀地域振興部,農業農村整備課,農業用用排水施設その１工事　　　　　　　　　　　　　　　　　　　　　　　　　　　,紀の川市　　　　　　,貴志川町丸栖　　　　,、北山地内　　　　　,（株）畑中産業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 26,250,000 "," 23,625,000 "," 24,622,500 ", 4 ,条件付一般競争入札
20100921,那賀地域振興部,森林整備課,奥地保安林保全緊急対策事業(奥地保安林第2号-2)　　　　　　　　　　　　　　　　　　　　　　　　　　　,紀の川市　　　　　　,西山田　　　　　　　,蔭地ヶ原地内　　　　,巽土木建設（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 12,925,500 "," 10,766,570 "," 10,773,000 ", 3 ,条件付一般競争入札
20100921,有田地域振興部,農業農村整備課,須谷第３水槽改修工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,有田市　　　　　　　,宮原町　畑　　　　　,地内　　　　　　　　,岩田組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 68,512,500 "," 58,984,598 "," 64,990,800 ", 2 ,条件付一般競争入札（総合評価）
20100917,伊都地域振興部,森林整備課,予防治山事業設計業務(予防第4号-2)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,伊都郡　かつらぎ町　,大字花園梁瀬　　　　,字栂尾地内　　　　　,（株）近畿コンサルタント　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,599,150 "," 1,246,942 "," 1,278,900 ", 11 ,条件付一般競争入札
20100916,西牟婁地域振興部,森林整備課,予防治山事業（予防第8号）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,龍神村柳瀬　　　　　,上栃谷地内　　　　　,（株）共栄建設工業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 31,010,700 "," 26,512,073 "," 26,617,500 ", 6 ,条件付一般競争入札（総合評価）
20100916,水産振興課,水産振興課,南部栽培漁業センター種苗生産棟建築工事　　　　　　　　　　　　　　　　　　　　　,東牟婁郡　串本町　　,串本　　　　　　　　,地内　　　　　　　　,（株）小寺工務店　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 81,958,800 "," 73,393,689 "," 77,805,000 ", 7 ,条件付一般競争入札（総合評価）
20100916,西牟婁地域振興部,農業農村整備課,立野工区　保全計画策定業務　　　　　　　　　　　　　　　　　　　　　　　　　　　,西牟婁郡　すさみ町　,周参見　　　　　　　,　地内　　　　　　　,（株）阪和測量設計　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 2,341,500 "," 1,818,862 "," 2,079,000 ", 9 ,条件付一般競争入札
20100916,西牟婁地域振興部,農業農村整備課,南部川左岸２期工区　保全計画策定その２業務　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,中芳養、日高郡　　　,みなべ町熊岡地内　　,キタイ設計（株）和歌山事務所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 6,972,000 "," 5,404,177 "," 5,880,000 ", 3 ,条件付一般競争入札
20100916,西牟婁地域振興部,農業農村整備課,秋津川工区　保全計画策定業務　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,秋津川　　　　　　　,地内　　　　　　　　,ＮＴＣコンサルタンツ（株）和歌山営業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 6,121,500 "," 4,710,064 "," 4,746,000 ", 4 ,条件付一般競争入札
20100916,西牟婁地域振興部,森林整備課,地域防災対策総合治山事業(地防第1号-5)　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,上秋津下左向　　　　,地内　　　　　　　　,（株）髙地商事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 25,395,300 "," 21,449,465 "," 21,497,700 ", 9 ,条件付一般競争入札
20100915,日高地域振興部,農業農村整備課,南紀用水工区送水施設補修工事　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　みなべ町　　,西本庄　　　　　　　,地内　　　　　　　　,（有）吹石重機　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 4,756,500 "," 4,065,314 "," 4,097,100 ", 9 ,条件付一般競争入札
20100914,有田地域振興部,農業農村整備課,水路保全計画策定業務　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,有田市　　　　　　　,糸我町　中番　　　　,外地内　　　　　　　,（株）南紀航測センター　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 5,869,500 "," 4,392,133 "," 5,250,000 ", 6 ,条件付一般競争入札
20100913,海草地域振興部,森林整備課,治山事業調査・設計業務委託(予防第3号-1)　　　　　　　　　　　　　　　　　　　　　　　　　　　,海草郡　紀美野町　　,円明寺　　　　　　　,字　居垣内　地内　　,国土防災技術（株）和歌山営業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 8,828,400 "," 6,538,528 "," 6,808,834 ", 1 ,条件付一般競争入札
20100910,那賀地域振興部,農業農村整備課,西山大池改修（その１）工事　　　　　　　　　　　　　　　　　　　　　　　　　　　,紀の川市　　　　　　,貴志川町西山　　　　,地内　　　　　　　　,（株）原組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 71,137,500 "," 62,281,800 "," 63,000,000 ", 14 ,条件付一般競争入札（総合評価）
20100910,伊都地域振興部,農業農村整備課,吉原田原地区　地すべり調査その１業務　　　　　　　　　　　　　　　　　　　　　　,橋本市　　　　　　　,吉原・高野口町田原　,地内　　　　　　　　,（株）アスコ和歌山支店　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,270,500 "," 924,663 "," 948,150 ", 5 ,条件付一般競争入札
20100910,伊都地域振興部,農業農村整備課,中山間総合整備事業　吉原地区　設計その２業務　　　　　　　　　　　　　　　　　　,橋本市　　　　　　　,吉原　　　　　　　　,地内　　　　　　　　,サンコーコンサルタント（株）和歌山営業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 7,560,000 "," 5,912,830 "," 6,027,000 ", 16 ,条件付一般競争入札
20100910,伊都地域振興部,農業農村整備課,池ノ内上池地区外　ボーリング調査業務　　　　　　　　　　　　　　　　　　　　　　,橋本市　　　　　　　,高野口町田原　　　　,地内外　　　　　　　,紀東工営（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 6,321,000 "," 5,119,096 "," 5,119,800 ", 21 ,条件付一般競争入札
20100909,西牟婁地域振興部,農業農村整備課,紀南地域農地海岸地質調査業務　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,新庄町　　　　　　　,地内　　　　　　　　,（株）白浜試錐　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 924,000 "," 746,146 "," 766,500 ", 6 ,条件付一般競争入札
20100909,西牟婁地域振興部,森林整備課,復旧治山事業(復旧第5号-4)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,稲成町細尾芝　　　　,地内　　　　　　　　,志原組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 21,583,800 "," 18,567,066 "," 19,059,600 ", 9 ,条件付一般競争入札
20100909,西牟婁地域振興部,森林整備課,復旧治山事業(復旧第5号-3)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,稲成町細尾芝　　　　,地内　　　　　　　　,（有）野中建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 16,839,900 "," 14,311,773 "," 14,325,150 ", 12 ,条件付一般競争入札
20100908,日高地域振興部,農業農村整備課,寺谷池地区　仮設道路・土取場測量業務　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高町　　　,小池　　　　　　　　,地内　　　　　　　　,（株）アール・エス　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 6,625,500 "," 5,116,770 "," 5,130,951 ", 11 ,条件付一般競争入札
20100908,日高地域振興部,農業農村整備課,名田地区送水施設測量業務　　　　　　　　　　　　　　　　　　　　　　　　　　　　,御坊市　　　　　　　,熊野　　　　　　　　,地内　　　　　　　　,（株）マエモト　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 3,139,500 "," 2,340,324 "," 2,342,550 ", 9 ,条件付一般競争入札
20100908,日高地域振興部,農業農村整備課,名田地区送水施設実施設計業務　　　　　　　　　　　　　　　　　　　　　　　　　　,御坊市　　　　　　　,熊野　　　　　　　　,地内　　　　　　　　,（株）日進コンサルタント　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 5,439,000 "," 3,994,672 "," 4,830,000 ", 10 ,条件付一般競争入札
20100908,日高地域振興部,農業農村整備課,南紀島ノ瀬地区　小水力発電施設実施設計業務　　　　　　　　　　　　　　　　　　　,日高郡　みなべ町　　,東神野川　　　　　　,地内　　　　　　　　,（株）ニュージェック和歌山事務所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 12,264,000 "," 9,078,300 "," 9,251,632 ", 2 ,条件付一般競争入札
