開札日,執行課名,事業担当課名,発注年度,工事番号名,工事名,工事場所１市区町村,工事場所１地名１,工事場所１地名２,契約業者名,予定価格,最低制限価格若しくは調査基準価格,落札価格,指名業者数,入札形式
20081104,東牟婁産業振興部,森林整備課,平成20年度,県防第5号-1,県土防災対策治山事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,東牟婁郡　古座川町　,宇筒井　　　　　　　,字奥山地内　　　　　,（有）竹本組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,8303400,6507989,6636000,6,条件付一般競争入札
20081104,東牟婁産業振興部,森林整備課,平成20年度,地すべり第1号-3,地すべり防止事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,新宮市　　　　　　　,熊野川町宮井　　　　,字奥谷第２地内　　　,（株）伊藤組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,32170950,26176400,30870000,2,条件付一般競争入札（総合評価）
20081029,日高産業振興部,農業農村整備課,平成20年度,畑総第1号-10,名田地区農道舗装工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,御坊市　　　　　　　,名田町　野島　　　　,（外）  地内　　　　,（株）三興組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,3580500,2906055,3360000,9,条件付一般競争入札
20081028,日高産業振興部,農業農村整備課,平成20年度,畑総第1号-9,名田地区付帯工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,御坊市　　　　　　　,名田町　野島　　　　,・上野・楠井地内　　,田中興業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,6258000,5078716,5628000,4,条件付一般競争入札
20081028,東牟婁産業振興部,林業振興課,平成20年度,住宅整備第1号,緑の雇用担い手住宅改修工事　　　　　　　　　　　　　　　　　　　　　　　　　　　,東牟婁郡　那智勝浦町,大字田垣内　　　　　,地内　　　　　　　　,（株）野平組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,1682100,1410106,1669500,2,条件付一般競争入札
20081027,西牟婁産業振興部,森林整備課,平成20年度,水広第1号-1,水源流域広域保全事業測量設計業務委託　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,龍神村丹生ノ川坂田井,地内　　　　　　　　,日高測量設計（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,1383900,962291,1245300,21,条件付一般競争入札
20081027,西牟婁産業振興部,森林整備課,平成20年度,水広第1号-2,水源流域広域保全事業測量設計業務委託　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,龍神村丹生ノ川坂田井,地内　　　　　　　　,（有）龍和興業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,747600,512442,672000,21,条件付一般競争入札
20081027,西牟婁産業振興部,森林整備課,平成20年度,水広第1号-3,水源流域広域保全事業測量設計業務委託　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,龍神村丹生ノ川坂田井,地内　　　　　　　　,（有）鈴木測量設計　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,438900,307213,393750,21,条件付一般競争入札
20081024,日高産業振興部,森林整備課,平成20年度,事務測第5号,予防治山事業測量設計業務委託　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　みなべ町　　,　　　　　　　　　　,足谷地内　　　　　　,（有）ヤマニシ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,1489950,1043692,1311156,30,条件付一般競争入札
20081021,海草産業振興部,農業農村整備課,平成20年度,新水保第1号-3,安原地区　朝日水路改修その１工事　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,朝日　　　　　　　　,地内　　　　　　　　,（有）光華園　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,10405500,1,9607500,3,条件付一般競争入札
20081021,有田産業振興部,農業農村整備課,平成20年度,基水第31号-5,西谷川工区揚水機場バルブ保全工事　　　　　　　　　　　　　　　　　　　　　　　　,有田市　　　　　　　,山田原　　　　　　　,地内　　　　　　　　,（株）武井工業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,5218500,4229324,4233600,7,条件付一般競争入札
20081021,有田産業振興部,農業農村整備課,平成20年度,県モデル第1号-1,つづら地区用水路改修工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　,有田郡　有田川町　　,久野原　　　　　　　,地内　　　　　　　　,青石組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,11665500,9399663,9794400,6,条件付一般競争入札
20081021,有田産業振興部,農業農村整備課,平成20年度,基水第31号-4,船坂工区第２，第３揚水機場バルブ保全工事　　　　　　　　　　　　　　　　　　　　,有田郡　有田川町　　,船坂　　　　　　　　,地内　　　　　　　　,（株）武井工業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,8389500,6823917,6823950,11,条件付一般競争入札
20081021,有田産業振興部,農業農村整備課,平成20年度,基水第31号-3,須谷工区揚水機場バルブ保全工事　　　　　　　　　　　　　　　　　　　　　　　　　,有田市宮原町須谷　　,・有田郡有田川町　　,田口地内　　　　　　,（株）前田組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,19078500,15545547,15568350,8,条件付一般競争入札
20081016,海草産業振興部,森林整備課,平成20年度,事務測第1号,治山事業測量設計業務委託　　　　　　　　　　　　　　　　　　　　　　　　　　　　,海草郡　紀美野町　　,長谷宮字月ノ盛　　　,地内　　　　　　　　,西畑測量設計（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,1572900,1121307,1121949,26,条件付一般競争入札
20081016,西牟婁産業振興部,農業農村整備課,平成20年度,ため池等第6号-2,巡谷池地区付帯工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,稲成町下組　　　　　,地内　　　　　　　　,（有）柳生建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,3045000,2501719,3024000,3,条件付一般競争入札
20081016,西牟婁産業振興部,森林整備課,平成20年度,復旧第10号-2,復旧治山事業測量設計業務委託　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,中辺路町大内川柳谷　,地内　　　　　　　　,（株）阪和測量設計　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,827400,590699,735000,28,条件付一般競争入札
20081016,西牟婁産業振興部,森林整備課,平成20年度,特流第1号-6,特定流域総合治山事業測量設計業務委託　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,中辺路町道湯川広田　,地内　　　　　　　　,（株）サン技研コンサルタンツ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,1810200,1254903,1617000,28,条件付一般競争入札
20081016,西牟婁産業振興部,森林整備課,平成20年度,特流第1号-7,特定流域総合治山事業測量設計業務委託　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,中辺路町道湯川広田　,地内　　　　　　　　,小原測量　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,1374450,975265,1218000,29,条件付一般競争入札
20081014,水産振興課,水産振興課,平成20年度,漁村再生第1号-2,日置工区魚礁製作及び設置工事　　　　　　　　　　　　　　　　　　　　　　　　　　,西牟婁郡　白浜町　　,日置　　　　　　　　,地先　　　　　　　　,日置川開発（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,52689000,43281195,44520000,2,条件付一般競争入札（総合評価）
20081014,西牟婁産業振興部,森林整備課,平成20年度,復旧第10号-1,復旧治山事業調査業務委託　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,中辺路町大内川柳谷　,地内　　　　　　　　,（有）熊野路測量設計　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,1428000,990603,992460,9,条件付一般競争入札
20081008,日高産業振興部,農業農村整備課,平成20年度,基水第33号-2,日高川工区用水路補修その２工事　　　　　　　　　　　　　　　　　　　　　　　　　,御坊市　　　　　　　,湯川町　小松原　　　,地内　　　　　　　　,（株）ハシモト　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,28780500,23703437,25336500,5,条件付一般競争入札
20081008,日高産業振興部,農業農村整備課,平成20年度,基水第33号-1,日高川工区用水路補修工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　,御坊市　　　　　　　,湯川町　小松原　　　,地内　　　　　　　　,（株）中村建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,36750000,30426193,32235000,9,条件付一般競争入札（総合評価）
20081008,日高産業振興部,森林整備課,平成20年度,復旧第6号-3,復旧治山事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　　,寒川　　　　　　　　,板垣内地内　　　　　,（株）児玉組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,51376500,41017170,40950000,8,条件付一般競争入札（総合評価）
20081003,日高産業振興部,森林整備課,平成20年度,予防第6号-2,予防治山事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　　,上越方　　　　　　　,露谷地内　　　　　　,鳥居建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,25688250,18942362,20249250,19,条件付一般競争入札
20081003,日高産業振興部,森林整備課,平成20年度,予防第7号-2,予防治山事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　　,寒川　　　　　　　　,小藪川南原地内　　　,（有）田村組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,9611700,7639787,7639800,22,条件付一般競争入札
20081003,日高産業振興部,森林整備課,平成20年度,予防第7号-3,予防治山事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　　,寒川　　　　　　　　,小藪川南原地内　　　,西川興業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,12273450,9561552,9644250,20,条件付一般競争入札
20081003,日高産業振興部,森林整備課,平成20年度,予防第8号-2,予防治山事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　印南町　　　,羽六　　　　　　　　,研屋地内　　　　　　,（株）﨑山組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,26964000,20791569,21468300,30,条件付一般競争入札
20081003,日高産業振興部,森林整備課,平成20年度,水地第2号-5,水源流域地域保全事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　　,田尻　　　　　　　　,本谷地内　　　　　　,上山建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,23975700,19060895,19062750,22,条件付一般競争入札
20081003,日高産業振興部,森林整備課,平成20年度,奥地保安林第11号-3,奥地保安林保全緊急対策事業　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　　,三十井川　　　　　　,宮ノ口地内　　　　　,（有）共栄産業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,25129650,20000421,20001450,25,条件付一般競争入札
20081003,日高産業振興部,森林整備課,平成20年度,復旧第7号-2,復旧治山事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　印南町　　　,山口　　　　　　　　,津瀬地内　　　　　　,（有）新紀建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,32840850,26296187,27092100,11,条件付一般競争入札（総合評価）
20081003,日高産業振興部,森林整備課,平成20年度,水地第2号-6,水源流域地域保全事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　　,田尻　　　　　　　　,本谷地内　　　　　　,（株）芝崎組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,49926450,40387249,40593000,12,条件付一般競争入札（総合評価）
20081002,有田産業振興部,農業農村整備課,平成20年度,ため調第3号-1,内台池・南池ボーリング調査業務　　　　　　　　　　　　　　　　　　　　　　　　　,有田郡　広川町　　　,唐尾　　　　　　　　,及び有田川町水尻地内,（株）武田基礎調査　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,4032000,2839334,2864736,15,条件付一般競争入札
20081002,有田産業振興部,農業農村整備課,平成20年度,基水第31号-50,送水管保全計画（その２）業務　　　　　　　　　　　　　　　　　　　　　　　　　　,有田市　　　　　　　,下中島　　　　　　　,地内他　　　　　　　,内外エンジニアリング（株）和歌山営業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,2782500,1971123,2362500,9,条件付一般競争入札
20080930,那賀産業振興部,農業農村整備課,平成20年度,畑総第4号-3,安楽川地区幹線排水路下流部１－３工区工事　　　　　　　　　　　　　　　　　　　　,紀の川市　　　　　　,桃山町市場　　　　　,地内　　　　　　　　,（株）宮村土木　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,61572000,50512971,51240000,4,条件付一般競争入札（総合評価）
20080929,那賀産業振興部,農業農村整備課,平成20年度,ため池等第3号-3,水栖大池改修（その４）工事　　　　　　　　　　　　　　　　　　　　　　　　　　　,岩出市　　　　　　　,水栖　　　　　　　　,地内　　　　　　　　,（株）丸山組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,93985500,77347266,84000000,3,条件付一般競争入札（総合評価）
20080926,農業農村整備課,農業農村整備課,平成20年度,震ため第1号-1,二次診断（安定解析）業務委託　　　　　　　　　　　　　　　　　　　　　　　　　　,和歌山県全域　　　　,　　　　　　　　　　,地内　　　　　　　　,キタイ設計（株）和歌山事務所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,7423500,5300379,5352343,9,条件付一般競争入札
20080924,海草産業振興部,農業農村整備課,平成20年度,地すべり第5号-4,永谷地区　Ｄ－２集水井付帯工事　　　　　　　　　　　　　　　　　　　　　　　　　,海草郡　紀美野町　　,永谷地内　　　　　　,　　　　　　　　　　,（有）ミナミ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,3423000,2758072,2803500,4,条件付一般競争入札
20080924,海草産業振興部,農地整備課,平成20年度,新水保第1号-5,安原地区　吉原水路管理道路ＣＢＲ試験業務　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,吉原外地内　　　　　,　　　　　　　　　　,和秀技研（有）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,294000,209504,209974,9,条件付一般競争入札
20080924,伊都産業振興部,農業農村整備課,平成20年度,畑総第3号-5,畑地帯総合整備事業　河根地区　農道舗装工事　　　　　　　　　　　　　　　　　　　,伊都郡　九度山町　　,河根　　　　　　　　,地内　　　　　　　　,淺川道路（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,15204000,11845075,12289200,8,条件付一般競争入札
20080922,有田産業振興部,農業農村整備課,平成20年度,基水第31号-2,金屋第４水槽保全対策工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　,有田郡　有田川町　　,下六川　　　　　　　,地内　　　　　　　　,（株）上野山塗工所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,9313500,7480958,7581000,4,条件付一般競争入札
20080922,有田産業振興部,農業農村整備課,平成20年度,基水第31号-1,船坂第４水槽保全対策工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　,有田郡　有田川町　　,船坂　　　　　　　　,地内　　　　　　　　,マンガ塗装店　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,6951000,5548309,6615000,4,条件付一般競争入札
20080922,有田産業振興部,農業農村整備課,平成20年度,ため池等第4号-50,谷池地区調査測量設計業務　　　　　　　　　　　　　　　　　　　　　　　　　　　　,有田郡　有田川町　　,水尻　　　　　　　　,地内　　　　　　　　,（株）近代技研　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,10132500,0,6279000,12,条件付一般競争入札
20080919,日高産業振興部,農業農村整備課,平成20年度,畑総第1号-8,名田地区法面保護工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,御坊市　　　　　　　,名田町　野島　　　　,・上野・楠井地内　　,（株）由貴建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,9597000,7806404,7938000,12,条件付一般競争入札
20080919,日高産業振興部,農業農村整備課,平成20年度,基水第35号-1,南紀用水工区送水管補修工事　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　みなべ町　　,西岩代・東岩代　　　,地内　　　　　　　　,（株）寺本建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,9691500,7887923,8201550,9,条件付一般競争入札
20080918,西牟婁産業振興部,森林整備課,平成20年度,特流第1号-3,特定流域総合治山事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,本宮町三越　　　　　,薄井谷地内　　　　　,小原建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,15881250,12592622,12609450,14,条件付一般競争入札
20080918,西牟婁産業振興部,森林整備課,平成20年度,復旧第14号-2,復旧治山事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,本宮町静川　　　　　,楠戸地内　　　　　　,（株）豊建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,32833500,26068494,26430600,4,条件付一般競争入札（総合評価）
20080917,海草産業振興部,農業農村整備課,平成20年度,推進第2号,下佐々地区計画策定委託業務　　　　　　　　　　　　　　　　　　　　　　　　　　　,海草郡　紀美野町　　,下佐々地内　　　　　,　　　　　　　　　　,（株）国土開発センター和歌山営業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,2898000,2014399,2436000,9,条件付一般競争入札
20080917,海草産業振興部,森林整備課,平成20年度,復旧第1号-2,復旧治山事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,海草郡　紀美野町　　,井堰字奥ノ谷地内　　,　　　　　　　　　　,新谷鉄工　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,29398950,23622170,26313000,3,条件付一般競争入札
20080917,海草産業振興部,森林整備課,平成20年度,復旧第1号-3,復旧治山事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,海草郡　紀美野町　　,井堰字奥ノ谷地内　　,　　　　　　　　　　,上北組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,18620700,15045542,16695000,3,条件付一般競争入札
20080917,海草産業振興部,森林整備課,平成20年度,予防第1号-2,予防治山事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,海草郡　紀美野町　　,野中　　　　　　　　,字山添地内　　　　　,折口建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,16212000,12733204,14511000,4,条件付一般競争入札
20080917,日高産業振興部,農業農村整備課,平成20年度,基水第1号-52,辺川頭首工実施設計業務　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　みなべ町　　,東本庄　　　　　　　,地内　　　　　　　　,（有）佐々木測量設計地所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,1050000,732795,738360,24,条件付一般競争入札
20080917,日高産業振興部,農業農村整備課,平成20年度,基水第1号-51,水管理施設実施設計業務　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　みなべ町　　,　　　　　　　　　　,地内　　　　　　　　,ＮＴＣコンサルタンツ（株）和歌山営業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,15624000,0,9450000,9,条件付一般競争入札
20080917,日高産業振興部,農業農村整備課,平成20年度,基水第35号-52,南紀用水工区保全計画策定その２業務　　　　　　　　　　　　　　　　　　　　　　　,日高郡　みなべ町　　,西岩代・東岩代　　　,地内　　　　　　　　,内外エンジニアリング（株）和歌山営業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,4935000,3554680,4168500,8,条件付一般競争入札
20080916,日高産業振興部,農業農村整備課,平成20年度,県かん第3号-2,日高川二期地区　幹線水路改修その４工事　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　　,小熊　　　　　　　　,地内　　　　　　　　,タナカ技研（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,49833000,40898457,41296500,6,条件付一般競争入札（総合評価）
20080916,日高産業振興部,農業農村整備課,平成20年度,県かん第3号-3,日高川二期地区　幹線水路改修その５工事　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　　,小熊　　　　　　　　,・御坊市藤田町藤井　,（株）西川組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,45580500,37283400,37621500,10,条件付一般競争入札（総合評価）
20080916,東牟婁産業振興部,森林整備課,平成20年度,地防第1号-2,地域防災対策総合治山事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　,新宮市　　　　　　　,熊野川町相須　　　　,字宮ノ上外地内　　　,（株）夏山組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,90398700,74116585,65940000,9,条件付一般競争入札（総合評価）
20080916,東牟婁産業振興部,森林整備課,平成20年度,地すべり第1号-2,地すべり防止事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,新宮市　　　　　　　,熊野川町宮井　　　　,字奥谷第１地内　　　,井筒建設（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,70346850,57022245,57676500,7,条件付一般競争入札（総合評価）
20080911,東牟婁産業振興部,森林整備課,平成20年度,地防第1号-1,地域防災対策総合治山事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　,新宮市　　　　　　　,熊野川町相須　　　　,字ウソ嶋地内　　　　,（株）松原組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,30073050,23817253,24174150,6,条件付一般競争入札（総合評価）
20080909,有田産業振興部,農業農村整備課,平成20年度,ため池等第5号-2,白豆池地区ため池改修工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　,有田郡　有田川町　　,奥　　　　　　　　　,地内　　　　　　　　,中平建設（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,67336500,54501720,55786500,4,条件付一般競争入札（総合評価）
20080909,有田産業振興部,農業農村整備課,平成20年度,ため池等第2号-2,中山池地区ため池改修工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　,有田郡　有田川町　　,瀬井　　　　　　　　,地内　　　　　　　　,（株）滝組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,61278000,49915097,52080000,5,条件付一般競争入札（総合評価）
20080908,日高産業振興部,農業農村整備課,平成20年度,県かん第3号-1,日高川二期地区　幹線水路改修その３工事　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　　,小熊　　　　　　　　,地内　　　　　　　　,（株）古部組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,84682500,70090423,72660000,6,条件付一般競争入札（総合評価）
20080904,那賀産業振興部,森林整備課,平成20年度,奥地保安林第2号-2,奥地保安林保全緊急対策事業工事　　　　　　　　　　　　　　　　　　　　　　　　　,紀の川市　　　　　　,中鞆渕　　　　　　　,字米ノ郷地内　　　　,（有）ワイエー　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,10764600,8386270,9124500,5,条件付一般競争入札
20080903,西牟婁産業振興部,森林整備課,平成20年度,復旧第11号-2,復旧治山事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,中辺路町近露　　　　,大塔地内　　　　　　,（株）中垣組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,30905700,24886480,24937500,16,条件付一般競争入札（総合評価）
20080903,西牟婁産業振興部,森林整備課,平成20年度,予防第9号-2,予防治山事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,西牟婁郡　白浜町　　,富田　　　　　　　　,高瀬地内　　　　　　,（株）深瀬組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,38430000,30952758,31206000,16,条件付一般競争入札（総合評価）
20080821,伊都産業振興部,農業農村整備課,平成20年度,畑総第3号-3,畑地帯総合整備事業　河根地区　支線１号農道排水路（その２）工事　　　　　　　　　,伊都郡　九度山町　　,河根　　　　　　　　,地内　　　　　　　　,（株）堂本工務店　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,11823000,9665236,9786000,10,条件付一般競争入札
20080821,伊都産業振興部,農業農村整備課,平成20年度,畑総第3号-52,畑地帯総合整備事業　河根地区　幹線農道法面設計業務　　　　　　　　　　　　　　　,伊都郡　九度山町　　,河根　　　　　　　　,地内　　　　　　　　,国土防災技術（株）和歌山営業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,3202500,2302277,2310000,14,条件付一般競争入札
20080820,日高産業振興部,農業農村整備課,平成20年度,ため池等第8号-52,新池（野島）地区　測量設計業務　　　　　　　　　　　　　　　　　　　　　　　　　,御坊市　　　　　　　,名田町　野島　　　　,地内　　　　　　　　,応用地質（株）和歌山支店　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,10416000,0,7350000,11,条件付一般競争入札
20080820,日高産業振興部,農業農村整備課,平成20年度,ため池等第10号-52,新池（三百瀬）地区　測量設計業務　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　　,三百瀬　　　　　　　,地内　　　　　　　　,アジア航測（株）和歌山営業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,10867500,0,8190000,11,条件付一般競争入札
20080820,日高産業振興部,農業農村整備課,平成20年度,震対第1号-1,和田地区緊急遮断弁設置工事　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　美浜町　　　,和田　　　　　　　　,　　　　　　　　　　,（株）中村建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,11676000,9855127,9865800,7,条件付一般競争入札
20080812,日高産業振興部,農業農村整備課,平成20年度,ため池等第9号-1,道尻池地区　堤体改修工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　　,松瀬　　　　　　　　,地内　　　　　　　　,（株）小林建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,115521000,94346044,95697000,5,条件付一般競争入札（総合評価）
20080804,有田産業振興部,農業農村整備課,平成20年度,地すべり第3号-2,田角４期地区　１号鋼管杭その２工事　　　　　　　　　　　　　　　　　　　　　　　,有田郡　有田川町　　,田角　　　　　　　　,　　　　　　　　　　,第五工業（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,106407000,86401660,72135000,5,条件付一般競争入札（総合評価）
20080729,水産振興課,水産振興課,平成20年度,漁村再生第2号-1,島田工区増殖礁製作及び設置工事　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　印南町　　　,島田　　　　　　　　,地先　　　　　　　　,（株）中村建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,32067000,26186481,26974500,4,条件付一般競争入札（総合評価）
