平成２３年４月１日から平成２４年３月31日までの分,,,,,,,,,,,
入札日,執行課名,事業担当課名,工事・業務番号,工事・業務名,工事場所,契約業者名,予定価格,最低制限価格若しくは調査基準価格,落札価格,応札業者数,入札形式
20110830,有田地域振興部,農業農村整備課,平成２３年度　ため池等　第２号－５１,菖蒲谷池地区設計業務,和歌山県有田郡有田川町中井原地内,株式会社中山綜合コンサルタント,"5,250,000","3,949,050","3,966,684",18,一般競争入札
20110829,那賀地域振興部,農業農村整備課,平成２２年度　畑総　第４号－５,１号排水路兼用道路９工区工事,紀の川市竹房　地内,株式会社二葉建設,"58,149,000","51,119,855","51,765,000",27,一般競争入札（総合評価）
20110829,那賀地域振興部,農業農村整備課,平成２３年度　県債　中山間　第２号－２,北工区ほ場整備工事,和歌山県紀の川市貴志川町北山地内,株式会社二葉建設,"99,361,500","87,955,888","88,588,500",18,一般競争入札（総合評価）
20110826,東牟婁地域振興部,森林整備課,平成２３年度　復旧　第７号－２,復旧治山事業調査業務,和歌山県新宮市熊野川町鎌塚字岩ノ谷外 地内,国土防災技術株式会社和歌山営業所,"2,536,800","1,868,272","2,257,500",1,一般競争入札
20110825,西牟婁地域振興部,森林整備課,平成２２年度　県防　第１号,県土防災対策治山事業,和歌山県田辺市龍神村龍神五百原　地内,大富建設株式会社,"14,117,250","12,293,369","12,303,900",25,一般競争入札
20110825,西牟婁地域振興部,森林整備課,平成２３年度　地防　第１号－４,地域防災対策総合治山事業　県土防災対策治山事業,和歌山県田辺市上秋津宇井田  地内,有限会社野中建設,"24,878,700","21,835,933","21,894,600",13,一般競争入札
20110824,日高地域振興部,農業農村整備課,平成２２年度　畑総　第２号－４,みなべ地区農道整備その３工事,和歌山県日高郡みなべ町山内地内,株式会社大木建設,"91,539,000","80,919,087","81,270,000",19,一般競争入札（総合評価）
20110824,日高地域振興部,農業農村整備課,平成２２年度　環生　第２号－１,阿尾園地整備その１工事,和歌山県日高郡日高町阿尾地内,北村建設株式会社,"29,022,000","25,921,269","26,985,000",14,一般競争入札
20110824,日高地域振興部,森林整備課,平成２３年度　復旧　第３号－４,復旧治山事業,日高郡日高川町大字皆瀨字丸嶋地内,株式会社長田組,"59,002,650","52,884,927","55,965,000",14,一般競争入札（総合評価）
20110824,日高地域振興部,農業農村整備課,平成２３年度　基水　第２号－１,名田地区送水施設更新工事,和歌山県御坊市熊野地内,株式会社中村建設,"91,465,500","81,157,624","82,240,200",7,一般競争入札（総合評価）
20110823,有田地域振興部,農業農村整備課,平成２３年度　ため池等　第３号－５０,鴻の池地区調査業務,和歌山県有田郡有田川町吉原地内,有限会社熊野路測量設計,"3,633,000","2,882,032","2,884,350",25,一般競争入札
20110823,東牟婁地域振興部,農業農村整備課,平成２３年度　防ダム　第１号－５１,小匠ダム管理設備設計業務,和歌山県東牟婁郡那智勝浦町小匠地内,ＮＴＣコンサルタンツ株式会社和歌山営業所,"24,381,000","17,781,625","19,381,950",1,一般競争入札
20110823,有田地域振興部,農業農村整備課,平成２３年度　ため池等　第２号－５０,菖蒲谷池地区調査業務,和歌山県有田郡有田川町中井原地内,西畑測量設計株式会社,"3,811,500","3,082,007","3,097,500",25,一般競争入札
20110823,有田地域振興部,農業農村整備課,平成２３年度　畑総　第６号－１,田殿第３水槽改修工事,和歌山県有田郡有田川町井口地内,岩田組,"26,985,000","23,287,420","24,255,000",3,一般競争入札
20110817,西牟婁地域振興部,森林整備課,平成２３年度　県防　第１２号,県土防災対策治山事業,和歌山県田辺市龍神村殿原小原　地内,青木組,"2,178,750","1,862,022","1,865,850",12,一般競争入札
20110811,西牟婁地域振興部,農業農村整備課,平成２２年度　津波・高潮　第３号－６,紀南地域農地海岸設計その２業務,和歌山県田辺市新庄町地内,株式会社阪和測量設計,"1,470,000","1,137,006","1,271,550",10,一般競争入札
20110811,西牟婁地域振興部,農業農村整備課,平成２３年度　戦作　第４号－１,秋津川地区　送水管設計業務,和歌山県田辺市秋津川地内,テクノ富貴株式会社,"1,974,000","1,453,941","1,722,000",6,一般競争入札
20110811,西牟婁地域振興部,森林整備課,平成２３年度　地防　第１号－３,地域防災対策総合治山事業,和歌山県田辺市秋津川中通　地内,株式会社目良組,"60,148,200","53,048,804","53,075,400",10,一般競争入札（総合評価）
20110811,西牟婁地域振興部,森林整備課,平成２３年度　地防　第１号－２,地域防災対策総合治山事業　県土防災対策治山事業,和歌山県田辺市上秋津川中口地内,株式会社泉組,"34,405,350","30,400,671","30,439,500",13,一般競争入札（総合評価）
20110811,西牟婁地域振興部,農業農村整備課,平成２２年度　中山間　第１号－１６,日向地区　進入道路法面工事,和歌山県田辺市上芳養地内,株式会社深瀬組,"64,186,500","56,663,061","56,700,000",24,一般競争入札（総合評価）
20110811,西牟婁地域振興部,農業農村整備課,平成２３年度　戦作　第５号－２,富田川地区 排水路設計業務,和歌山県西牟婁郡上富田町岩崎地内,株式会社阪和測量設計,"2,362,500","1,780,876","2,090,550",10,一般競争入札
20110811,西牟婁地域振興部,農業農村整備課,平成２３年度　戦作　第５号－１,富田川地区 排水路測量業務,和歌山県西牟婁郡上富田町岩崎地内,株式会社阪和測量設計,"1,480,500","1,103,686","1,287,300",12,一般競争入札
20110811,西牟婁地域振興部,農業農村整備課,平成２２年度　津波・高潮　第３号－５,滝内地区　海岸施設補強その３工事,和歌山県田辺市新庄町地内,株式会社タマイ,"27,384,000","24,262,663","24,270,750",8,一般競争入札
20110810,日高地域振興部,農業農村整備課,平成２３年度　県かん　第３号－１,日高川二期地区小熊工区付帯施設設計業務,和歌山県日高郡日高川町小熊地内,株式会社三紀屋測量,"945,000","727,992","924,000",2,一般競争入札
20110810,日高地域振興部,森林整備課,平成２３年度　奥地保安林　第４号－３,奥地保安林保全緊急対策事業,日高郡印南町大字田ノ垣内字ヒキリギ  地内,土井建設,"5,746,650","4,934,127","4,950,960",7,一般競争入札
20110810,日高地域振興部,森林整備課,平成２３年度　復旧　第３号－５,復旧治山事業,日高郡日高川町大字皆瀬字丸嶋  地内,西谷建設,"18,740,400","16,368,515","16,372,125",24,一般競争入札
20110809,有田地域振興部,農業農村整備課,平成２３年度　地すべり　第６号－１,畦田2期地区2号承水路その３工事,和歌山県有田郡有田川町瀬井地内,和光産業株式会社,"1,207,500","1,057,561","1,070,183",8,一般競争入札
20110809,那賀地域振興部,農業農村整備課,平成２３年度　調査管理　第３号－１,善田地区地すべり防止工事,和歌山県紀の川市桃山町善田地内,藤山建設株式会社,"388,500","341,889","344,400",2,一般競争入札
20110805,海草地域振興部,森林整備課,平成２３年度　予防　第１号－１,治山事業設計業務委託,和歌山県海草郡紀美野町蓑津呂字　ツロ  地内,株式会社データ技研,"1,510,950","1,127,738","1,141,749",11,一般競争入札
20110805,海草地域振興部,森林整備課,平成２３年度　予防　第３号－１,治山事業設計業務委託,和歌山県海草郡紀美野町長谷宮字　柳生谷  地内,株式会社データ技研,"1,140,300","862,992","863,541",11,一般競争入札
20110805,那賀地域振興部,農業農村整備課,平成２３年度　中山間　第２号－１,農業用用排水施設その２工事,和歌山県紀の川市貴志川町北山・丸栖地内,株式会社原組,"49,276,500","43,872,773","43,874,250",14,一般競争入札（総合評価）
20110804,水産振興課,水産振興課,平成２３年度　地域水産物　第１号－１,阿尾工区漁場測量委託業務,和歌山県日高郡日高町阿尾地先,有限会社ヤマニシ,"2,436,000","1,832,890","1,833,090",8,一般競争入札
20110804,水産振興課,水産振興課,平成２３年度　漁村再生　第１号－１,熊野灘地区増殖場測量委託業務,和歌山県東牟婁郡串本町田原地先他,望月測量設計事務所,"2,478,000","1,879,762","2,247,000",5,一般競争入札
20110803,日高地域振興部,農業農村整備課,平成２２年度　県債　小水力　第２号－１,南紀島ノ瀬地区　小水力発電施設整備その１工事,和歌山県日高郡みなべ町東神野川地内,紀南電設株式会社,"98,049,000","86,982,209","98,049,000",1,一般競争入札（総合評価）
20110729,東牟婁地域振興部,農業農村整備課,平成２３年度　防ダム　第１号－５０,小匠ダム現地測量業務,和歌山県東牟婁郡那智勝浦町小匠地内,有限会社熊野路測量設計,"4,977,000","3,781,989","4,525,500",5,一般競争入札
20110729,伊都地域振興部,農業農村整備課,平成２３年度　戦作　第２号－５１,丁ノ町地区承水路兼用道路改修実施設計業務,和歌山県伊都郡かつらぎ町丁ノ町地内,株式会社石井コンサルタント,"1,995,000","1,461,515","1,470,000",17,一般競争入札
20110725,海草地域振興部,農業農村整備課,平成２３年度　戦作　第１号－５１,九品寺新池地区測量設計業務,和歌山県海南市九品寺地内,有限会社熊野路測量設計,"8,589,000","6,561,341","6,574,155",13,一般競争入札
20110722,那賀地域振興部,農業農村整備課,平成２３年度　ため池等　第１号－３,北勢田大池設計業務,和歌山県紀の川市北勢田地内,株式会社近代技研,"6,247,500","4,731,992","4,736,550",15,一般競争入札
20110722,那賀地域振興部,農業農村整備課,平成２３年度　ため池等　第１号－２,北勢田大池測量業務,和歌山県紀の川市北勢田地内,株式会社コスモ技研,"1,102,500","815,081","987,000",9,一般競争入札
20110722,那賀地域振興部,農業農村整備課,平成２３年度　ため池等　第１号－１,北勢田大池土質調査業務,和歌山県紀の川市北勢田地内,株式会社南紀航測センター,"3,685,500","2,918,054","2,923,218",20,一般競争入札
20110719,有田地域振興部,森林整備課,平成２３年度　予防　第６号－２,北野川地区予防治山工事,有田郡  有田川町大字  北野川字  上垣内地内,織本組,"23,274,300","19,740,949","19,750,697",27,一般競争入札
20110715,伊都地域振興部,農業農村整備課,平成２２年度　中山間防　第１号－５３,中山間総合農地防災事業　恋野地区　地質調査その３業務,和歌山県橋本市恋野地内,有限会社岡本土木技術,"3,486,000","2,822,507","2,827,492",24,一般競争入札
20110715,伊都地域振興部,農業農村整備課,平成２３年度　中山間　第３号－５１,中山間総合整備事業　吉原地区　用地測量その１業務,和歌山県橋本市吉原地内,株式会社キワコンサルタント,"2,457,000","1,791,321","2,205,000",8,一般競争入札
20110715,伊都地域振興部,農業農村整備課,平成２２年度　中山間防　第１号－５４,中山間総合農地防災事業　恋野地区　調査その４業務,和歌山県橋本市恋野・只野  地内,株式会社データ技研,"2,919,000","2,181,333","2,260,807",6,一般競争入札
20110715,伊都地域振興部,農業農村整備課,平成２２年度　中山間防　第１号－５２,中山間総合農地防災事業　恋野地区　測量・設計その３業務,和歌山県橋本市恋野地内,株式会社タニガキ建工,"6,048,000","4,463,424","4,494,000",14,一般競争入札
20110715,那賀地域振興部,農業農村整備課,平成２２年度　中山間　第２号－３,中央工区ほ場整備その２工事,和歌山県紀の川市貴志川町北山地内,柏木組,"18,585,000","15,916,766","15,949,500",20,一般競争入札
20110715,那賀地域振興部,森林整備課,平成２２年度　国債　復旧　第１号－３,復旧治山事業,和歌山県紀の川市切畑字葛城地内,株式会社畑中組,"18,452,700","15,497,187","15,632,400",18,一般競争入札
20110714,西牟婁地域振興部,森林整備課,平成２３年度　復旧　第５号,復旧治山事業,和歌山県田辺市龍神村龍神亀谷地内,株式会社谷口組,"26,278,350","22,397,845","22,430,100",10,一般競争入札
20110714,西牟婁地域振興部,森林整備課,平成２３年度　地防　第１号－１,地域防災対策総合治山事業,和歌山県田辺市上秋津下左向地内,株式会社中村組,"64,185,450","55,425,680","55,603,800",12,一般競争入札（総合評価）
20110714,西牟婁地域振興部,森林整備課,平成２３年度　予防　第９号－１,予防治山事業設計業務,和歌山県田辺市稲成町小田畑地内,株式会社初山,"1,284,150","995,344","1,134,000",9,一般競争入札
20110713,日高地域振興部,農業農村整備課,平成２３年度　基水　第６３号－５１,上南部工区保全計画策定業務,和歌山県日高郡みなべ町西本庄地内,株式会社国土開発センター和歌山営業所,"2,709,000","2,103,729","2,394,000",4,一般競争入札
20110713,日高地域振興部,農業農村整備課,平成２３年度　基水　第６５号－５１,千貫工区保全計画策定業務,和歌山県日高郡美浜町和田地内,内外エンジニアリング株式会社和歌山営業所,"2,709,000","2,073,566","2,415,000",3,一般競争入札
20110713,日高地域振興部,農業農村整備課,平成２３年度　基水　第５３号－５１,川辺町周辺３期工区保全計画策定業務,和歌山県日高郡印南町印南原地内,ＮＴＣコンサルタンツ株式会社和歌山営業所,"3,255,000","2,543,977","2,835,000",4,一般競争入札
20110712,有田地域振興部,森林整備課,平成２３年度　復旧　第１号,粟生地区復旧治山工事,和歌山県有田郡有田川町粟生字  西大和杉  地内,野田建設,"15,342,600","12,944,043","12,960,465",22,一般競争入札
20110712,有田地域振興部,森林整備課,平成２３年度　予防　第６号－１,予防治山事業設計業務,有田郡  有田川町大字  北野川字  小屋谷地内,有限会社尾崎測量設計,"1,723,050","1,316,038","1,327,935",11,一般競争入札
20110708,東牟婁地域振興部,森林整備課,平成２３年度　予防　第１１号－１,予防治山事業測量設計業務委託,東牟婁郡　那智勝浦町　大字小阪　字清水地内,（有）吉野測量設計事務所,"1,344,000","1,033,867","1,207,500",4,一般競争入札
20110708,東牟婁地域振興部,森林整備課,平成２２年度　地すべり　第２号－４,地すべり防止事業,新宮市　熊野川町　日足　字萬歳地内,（株）武田基礎調査,"6,539,400","5,686,600","5,703,705",8,一般競争入札
20110708,東牟婁地域振興部,森林整備課,平成２３年度　作業道整備　第１号－１,県有林作業道整備事業測量設計業務委託,東牟婁郡　古座川町　小森川　字瀧谷島地内,（有）吉野測量設計事務所,"3,675,000","2,970,473","3,360,000",4,一般競争入札
20110708,東牟婁地域振興部,森林整備課,平成２３年度　県防　第１０号,県土防災対策治山事業,東牟婁郡　古座川町　高池　字清水外地内,（有）竹本組,"5,457,900","4,712,154","5,040,000",16,一般競争入札
20110708,伊都地域振興部,農業農村整備課,平成２２年度　中山間防　第１号－５１,中山間総合農地防災事業　恋野地区　測量・設計その４業務,橋本市　恋野　只野地内,（株）エース和歌山営業所,"3,087,000","2,292,334","2,325,750",11,一般競争入札
20110708,東牟婁地域振興部,森林整備課,平成２３年度　予防　第１０号－１,予防治山事業測量設計業務委託,東牟婁郡　古座川町　宇津木　字中通り地内,（有）熊野路測量設計,"1,452,150","1,090,611","1,344,000",4,一般競争入札
20110628,有田地域振興部,農業農村整備課,平成２２年度　ため池等　第４号－５０,谷池地区事業損失調査（事後調査）業務,有田郡　有田川町　水尻　地内,（株）ランド・コンサルタント和歌山営業所,"2,016,000","1,615,657","1,627,500",18,一般競争入札
20110627,海草地域振興部,農業農村整備課,平成２３年度　地すべり　第４号－１１,中田地区集水井用地測量業務,海草郡　紀美野町　中田　地内,（株）センダイ工部コンサルタント,"325,500","244,666","277,200",8,一般競争入札
20110623,西牟婁地域振興部,森林整備課,平成２２年度　国債　復旧　第２号,復旧治山事業,田辺市　本宮町野竹　定夕地内　　　　　　　　　,佐古建設（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"22,636,950","19,630,852","19,887,000",7,一般競争入札
20110617,伊都地域振興部,農業農村整備課,平成２３年度　中山間防　第１号－１,中山間総合農地防災事業　恋野地区　つつじょう池改修・管理用道路整備工事　　　　　,橋本市　恋野　只野地内,（株）まえだ住宅設備　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"80,472,000","70,269,366","70,350,000",25,一般競争入札（総合評価）
20110617,東牟婁地域振興部,森林整備課,平成２２年度　国債　地すべり　第１号－１,地すべり防止事業,新宮市　熊野川町宮井字奥谷　地内　　　　　　　,（株）世紀工業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"45,890,250","40,492,275","40,719,000",9,一般競争入札（総合評価）
20110617,東牟婁地域振興部,森林整備課,平成２２年度　国債　地すべり　第１号－２,地すべり防止事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,新宮市　熊野川町宮井字奥谷　地内　　　　　　　,（有）匠建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"47,595,450","41,920,861","42,015,750",9,一般競争入札（総合評価）
20110617,東牟婁地域振興部,森林整備課,平成２２年度　国債　地すべり　第１号－３,地すべり防止事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,新宮市　熊野川町宮井字奥谷　地内　　　　　　　,（株）タニガキ建工　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"34,501,950","30,056,472","30,080,400",9,一般競争入札（総合評価）
20110617,東牟婁地域振興部,森林整備課,平成２２年度　国債　地すべり　第２号,地すべり防止事業,新宮市　熊野川町日足字萬歳　地内　　　　　　　　,英進工業（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"32,128,950","27,597,391","27,693,750",16,一般競争入札（総合評価）
20110617,伊都地域振興部,森林整備課,平成２２年度　予防　第１７号－４,予防治山事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,伊都郡　かつらぎ町　大字滝　字分行地内　,（株）城野組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"36,502,200","30,829,491","31,265,850",16,一般競争入札（総合評価）
20110617,西牟婁地域振興部,農業農村整備課,平成２２年度　津波・高潮　第３号－４,滝内地区　海岸施設補強その２工事,田辺市　新庄町　地内　　　　　　　,（株）小谷組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"8,778,000","7,445,938","7,539,000",6,一般競争入札
20110615,日高地域振興部,農業農村整備課,平成２２年度　畑総　第２号－３,みなべ地区山内工区土質調査業務,日高郡　みなべ町　山内　地内　　　,ワコウコンサルタント（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"315,000","264,499","315,000",4,一般競争入札
20110615,日高地域振興部,森林整備課,平成２３年度　予防　第７号－１,予防治山事業設計業務委託,日高郡　日高川町　大字初湯川字塔ノ島　地内　　　,（株）三紀屋測量　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"1,255,800","928,935","1,123,500",6,一般競争入札
20110615,日高地域振興部,森林整備課,平成２３年度　予防　第８号－１,予防治山事業設計業務委託　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　大字寒川字小川　地内　　　　,（有）佐々木測量設計地所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"1,221,150","906,003","1,092,000",6,一般競争入札
20110615,日高地域振興部,森林整備課,平成２２年度　予防　第１８号－２,予防治山事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　大字上初湯川　字追谷地内　　,（株）児玉組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"45,636,150","39,604,372","39,690,000",12,一般競争入札（総合評価）
20110615,伊都地域振興部,森林整備課,平成２３年度　予防　第４号－１,予防治山事業設計業務,橋本市　谷奥深　字戸西谷地内　　　　　　　　,（株）近代技研　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"1,832,250","1,415,729","1,421,700",17,一般競争入札
20110615,伊都地域振興部,森林整備課,平成２３年度　減災対策　第１号－１,山地災害総合減災対策治山事業設計業務　　　　　　　　　　　　　　　　　　,伊都郡　かつらぎ町　大字花園中南　字谷ノ瀬地内　,（株）タニガキ建工　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"1,559,250","1,160,283","1,160,775",17,一般競争入札
20110615,伊都地域振興部,森林整備課,平成２３年度　予防　第５号－１,予防治山事業設計業務,橋本市　矢倉脇　字高山地内　　　　　　　　　,（株）中山綜合コンサルタント　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"1,754,550","1,315,890","1,316,259",16,一般競争入札
20110610,那賀地域振興部,農業農村整備課,平成２２年度　ため池等　第１６号－２,曽池改修（その１）工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,紀の川市　桃山町調月　地内　　　　　　　　,（株）﨑山組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"55,461,000","48,943,591","49,308,000",25,一般競争入札（総合評価）
20110610,那賀地域振興部,森林整備課,平成２２年度　国債　復旧　第１号－２,復旧治山事業,紀の川市　切畑　字葛城地内　　　　　　　,（株）二葉建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"16,578,450","13,849,529","13,907,250",12,一般競争入札
20110610,東牟婁地域振興部,森林整備課,平成２３年度　地すべり　第１号－１,地すべり防止事業調査業務委託,新宮市　熊野川町日足　字萬歳外地内　　　　　　　　　,（株）果無　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"2,489,550","2,042,523","2,079,241",14,一般競争入札
20110610,東牟婁地域振興部,森林整備課,平成２３年度　復旧　第７号－１,復旧治山事業調査業務委託,新宮市　熊野川町鎌塚　字岩ノ谷外地内　　　　　　　　,（株）近代技研　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"16,663,500","13,825,833","13,913,550",18,一般競争入札
20110610,東牟婁地域振興部,森林整備課,平成２３年度　復旧　第８号－１,復旧治山事業測量設計業務委託　　　　　　　　　　　　　　　　　　　　　　　　　　,新宮市　熊野川町西敷屋　字坊田外地内　　　　　　　　,（有）吉野測量設計事務所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"2,108,400","1,616,353","1,942,500",2,一般競争入札
20110610,東牟婁地域振興部,森林整備課,平成２２年度　国債　地すべり　第１号－４,地すべり防止事業調査業務委託,新宮市　熊野川町宮井　字奥谷外地内　　　　　　　,（株）阪和測量設計　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"24,249,750","20,939,400","20,964,300",22,一般競争入札
20110609,西牟婁地域振興部,森林整備課,平成２３年度　復旧　第６号－１,復旧治山事業調査業務　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　本宮町高山　吹越谷地内　　　　　　　,和建技術（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"11,127,900","9,024,873","9,068,535",23,一般競争入札
20110609,西牟婁地域振興部,森林整備課,平成２３年度　復旧　第６号－２,復旧治山事業調査業務　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　本宮町高山　吹越谷地内　　　　　　　,（株）果無　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"2,784,600","2,081,129","2,362,500",9,一般競争入札
20110609,西牟婁地域振興部,森林整備課,平成２３年度　復旧　第６号－３,復旧治山事業測量業務　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　本宮町高山　吹越谷地内　　　　　　　,（有）三和　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"955,500","696,690","840,000",7,一般競争入札
20110607,有田地域振興部,農業農村整備課,平成２２年度　津波・高潮　第１号－３,和歌山地区宮代工区護岸破堤防止その２工事　　　　　　　　　　　　　　　　　　　　,有田郡　広川町　唐尾　地先　　　　,（株）紀州コーポレーション　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"18,522,000","15,917,354","15,942,150",21,一般競争入札
20110607,有田地域振興部,農業農村整備課,平成２３年度　津波・高潮　第１号－２,和歌山地区宮代工区護岸破堤防止その３工事　　　　　　　　　　　　　　　　　　　　,有田郡　広川町　唐尾　地先　　　　,酒井組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"16,831,500","14,582,221","14,587,860",20,一般競争入札
20110607,有田地域振興部,農業農村整備課,平成２３年度　地すべり　第６号－５０,畦田２期地区地すべり観測（継続）業務　　　　　　　　　　　　　　　　　　　　　　,有田郡　有田川町　瀬井　地内　　　,（有）岡本土木技術　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"1,417,500","1,168,146","1,174,635",17,一般競争入札
20110601,東牟婁地域振興部,森林整備課,平成２３年度　県防　第５号,県土防災対策治山事業,東牟婁郡　古座川町　池野山字ヌタ　地内　　　　　,（株）小森組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"1,773,450","1,480,290","1,483,650",11,一般競争入札
20110526,西牟婁地域振興部,農業農村整備課,平成２３年度　環生　第１号－１,小森谷遊歩道設計業務　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　龍神村龍神　地内　　　　　　　,日高測量設計（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"997,500","755,704","872,550",7,一般競争入札
20110526,西牟婁地域振興部,農業農村整備課,平成２３年度　環生　第１号－２,小森谷遊歩道測量業務　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　龍神村龍神　地内　　　　　　　,日高測量設計（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"1,869,000","1,368,150","1,625,400",7,一般競争入札
20110524,伊都地域振興部,森林整備課,平成２３年度　県防　第７号,県土防災対策治山事業,伊都郡　かつらぎ町　大字花園久木　字内胡奥山地内　,（有）西窪建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"820,050","679,281","719,250",3,一般競争入札
20110524,伊都地域振興部,森林整備課,平成２３年度　県防　第８号,県土防災対策治山事業,伊都郡　かつらぎ町　大字広口　字庄司垣内地内　,（有）西康建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"2,462,250","2,024,870","2,068,500",4,一般競争入札
20110524,伊都地域振興部,森林整備課,平成２３年度　県防　第９号,県土防災対策治山事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,伊都郡　高野町　大字湯川　字堂垣内地内　　　　,（株）大舘組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"1,190,700","1,025,986","1,060,500",3,一般競争入札
20110520,東牟婁地域振興部,森林整備課,平成２３年度　県防　第４号,治山事業調査業務委託　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,新宮市　熊野川町宮井　字奥谷外地内　　　　　　　　　,アジア航測（株）和歌山営業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"762,300","638,500","693,000",3,一般競争入札
20110518,日高地域振興部,森林整備課,平成２３年度　復旧　第２号－１,復旧治山事業設計業務委託　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　大字田尻字長木谷　地内　　　,（株）三紀屋測量　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"760,200","548,062","703,500",7,一般競争入札
20110518,日高地域振興部,森林整備課,平成２３年度　復旧　第３号－１,復旧治山事業設計業務委託　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　大字皆瀬字丸嶋　地内　　　　,（有）佐々木測量設計地所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"2,236,500","1,616,501","1,995,000",7,一般競争入札
20110518,日高地域振興部,森林整備課,平成２３年度　復旧　第３号－２,復旧治山事業設計業務委託　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　大字皆瀬字丸嶋　地内　　　　,（株）マエモト　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"799,050","606,879","724,500",7,一般競争入札
20110518,日高地域振興部,森林整備課,平成２３年度　復旧　第３号－３,復旧治山事業設計業務委託,日高郡　日高川町　大字皆瀬字丸嶋　地内　　　　,（有）ヤマニシ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,"1,426,950","1,061,182","1,323,000",7,一般競争入札
